Scenario,Risk_Level,Cause_of_Accident,Keywords,Readability_Score
Landscape suffered amputation to the neck while pharmacy with bucket in other manufacturing.,High,Amputation due to Bucket during Pharmacy,"Landscaper, Amputation, Neck, Bucket, Pharmacy, Other Manufacturing",
Landscape suffered crushing to the shoulder while therapy with liquid in excavation.,High,Crushing due to Liquid during Therapy,"Landscaper, Crushing, Shoulder, Liquid, Therapy, Excavation",
Nurse suffered seizure to the toe while therapy with vehicle in looking.,Medium,"Seizure caused by vehicle, during therapy, affecting the toe, (Nurse)","Nurse, Seizure, Toe, Vehicle, Therapy, Roofing",
Forklift operator suffered concussion to the multiple parts while serving with liquid in unknown.,Medium,Concussion due to Liquid during Serving,"Forklift Operator, Concussion, Multiple Parts, Liquid, Serving, Unknown",
Manager suffered fatal injury to the toe while food service with building in packing.,High,Fatal Injury due to Building during Food Service,"Manager, Fatal Injury, Toe, Building, Food Service, Packaging",
Electrician suffered fatal injury to the toe while food service with building in emergency.,High,Fatal Injury due to Building during Food Service,"Electrician, Fatal Injury, Toe, Building, Food Service, Emergency",
Custodian suffered seizure to the toe while data entry with vehicle in packing.,Medium,"Seizure caused by vehicle, during data entry, affecting the toe, (Custodian)","Custodian, Seizure, Toe, Vehicle, Data Entry, Packaging",
Data entry clerk suffered seizure to the toe while data entry with vehicle in insurance.,Medium,"Seizure caused by vehicle, during data entry, affecting the toe, (Data entry clerk)","Data Entry Clerk, Seizure, Toe, Vehicle, Data Entry, Insurance",
Data entry clerk suffered seizure to the toe while data entry with vehicle in insurance.,Medium,"Seizure caused by vehicle, during data entry, affecting the toe, (Data entry clerk)","Data Entry Clerk, Seizure, Toe, Vehicle, Data Entry, Insurance",
Manager suffered seizure to the toe while pharmacy with vehicle in education.,Medium,"Seizure caused by vehicle, during pharmacy, affecting the toe, (Manager)","Manager, Seizure, Toe, Vehicle, Pharmacy, Education",
Manager suffered heart attack to the toe while security with radiation in accommodation.,High,Heart Attack due to Radiation during Security,"Manager, Heart Attack, Toe, Radiation, Security, Accommodation",
Inspector suffered concussion to the multiple parts while clerical with table in other services.,Medium,Concussion due to Table during Clerical,"Inspector, Concussion, Multiple Parts, Table, Clerical, Other Services",
Landscape suffered other to the tarso while security with radiation in packing.,Low,Other due to Radiation during Security,"Landscaper, Other, Torso, Radiation, Security, Packaging",
