Scenario,Risk_Level,Cause_of_Accident,Keywords
Landscaper suffered amputation to the neck while pharmacy with bucket in other manufacturing.,High,Amputation due to Bucket during Pharmacy,"Landscaper, Amputation, Neck, Bucket, Pharmacy, Other Manufacturing"
Landscaper suffered crushing to the shoulder while therapy with liquid in excavation.,High,Crushing due to Liquid during Therapy,"Landscaper, Crushing, Shoulder, Liquid, Therapy, Excavation"
Nurse suffered seizure to the toe while therapy with vehicle in roofing.,Medium,Seizure due to Vehicle during Therapy,"Nurse, Seizure, Toe, Vehicle, Therapy, Roofing"
Forklift operator suffered concussion to the multiple parts while serving with liquid in unknown.,Medium,Concussion due to Liquid during Serving,"Forklift Operator, Concussion, Multiple Parts, Liquid, Serving, Unknown"
Manager suffered fatal injury to the toe while food service with building in packaging.,High,Fatal Injury due to Building during Food Service,"Manager, Fatal Injury, Toe, Building, Food Service, Packaging"
Electrician suffered fatal injury to the toe while food service with building in emergency.,High,Fatal Injury due to Building during Food Service,"Electrician, Fatal Injury, Toe, Building, Food Service, Emergency"
Custodian suffered seizure to the toe while data entry with vehicle in packaging.,Medium,Seizure due to Vehicle during Data Entry,"Custodian, Seizure, Toe, Vehicle, Data Entry, Packaging"
Data entry clerk suffered seizure to the toe while data entry with vehicle in insurance.,Medium,Seizure due to Vehicle during Data Entry,"Data Entry Clerk, Seizure, Toe, Vehicle, Data Entry, Insurance"
Data entry clerk suffered seizure to the toe while data entry with vehicle in insurance.,Medium,Seizure due to Vehicle during Data Entry,"Data Entry Clerk, Seizure, Toe, Vehicle, Data Entry, Insurance"
Manager suffered seizure to the toe while pharmacy with vehicle in education.,Medium,Seizure due to Vehicle during Pharmacy,"Manager, Seizure, Toe, Vehicle, Pharmacy, Education"
Manager suffered heart attack to the toe while security with radiation in accommodation.,High,Heart Attack due to Radiation during Security,"Manager, Heart Attack, Toe, Radiation, Security, Accommodation"
Inspector suffered concussion to the multiple parts while clerical with table in other services.,Medium,Concussion due to Table during Clerical,"Inspector, Concussion, Multiple Parts, Table, Clerical, Other Services"
Landscaper suffered other to the torso while security with radiation in packaging.,Low,Other due to Radiation during Security,"Landscaper, Other, Torso, Radiation, Security, Packaging"
Stock clerk suffered seizure to the toe while other public safety with vehicle in packaging.,Medium,Seizure due to Vehicle during Other Public Safety,"Stock Clerk, Seizure, Toe, Vehicle, Other Public Safety, Packaging"
Molder suffered seizure to the toe while law enforcement with vehicle in accommodation.,Medium,Seizure due to Vehicle during Law Enforcement,"Molder, Seizure, Toe, Vehicle, Law Enforcement, Accommodation"
Architect suffered seizure to the toe while therapy with vehicle in packaging.,Medium,Seizure due to Vehicle during Therapy,"Architect, Seizure, Toe, Vehicle, Therapy, Packaging"
Landscaper suffered heart attack to the toe while serving with radiation in roofing.,High,Heart Attack due to Radiation during Serving,"Landscaper, Heart Attack, Toe, Radiation, Serving, Roofing"
Manager suffered seizure to the toe while therapy with vehicle in roofing.,Medium,Seizure due to Vehicle during Therapy,"Manager, Seizure, Toe, Vehicle, Therapy, Roofing"
Manager suffered seizure to the toe while therapy with vehicle in roofing.,Medium,Seizure due to Vehicle during Therapy,"Manager, Seizure, Toe, Vehicle, Therapy, Roofing"
Manager suffered seizure to the toe while cleaning with vehicle in construction.,Medium,Seizure due to Vehicle during Cleaning,"Manager, Seizure, Toe, Vehicle, Cleaning, Construction"
Landscaper suffered fatal injury to the abdomen while sales with ladder in packaging.,High,Fatal Injury due to Ladder during Sales,"Landscaper, Fatal Injury, Abdomen, Ladder, Sales, Packaging"
Manager suffered heart attack to the toe while serving with radiation in packaging.,High,Heart Attack due to Radiation during Serving,"Manager, Heart Attack, Toe, Radiation, Serving, Packaging"
Data entry clerk suffered seizure to the toe while law enforcement with machine in excavation.,Medium,Seizure due to Machine during Law Enforcement,"Data Entry Clerk, Seizure, Toe, Machine, Law Enforcement, Excavation"
Machine operator suffered seizure to the toe while other cleaning with machine in food service.,Medium,Seizure due to Machine during Other Cleaning,"Machine Operator, Seizure, Toe, Machine, Other Cleaning, Food Service"
Packager suffered seizure to the toe while clerical with machine in food service.,Medium,Seizure due to Machine during Clerical,"Packager, Seizure, Toe, Machine, Clerical, Food Service"
Custodian suffered seizure to the toe while manufacturing with vehicle in food service.,Medium,Seizure due to Vehicle during Manufacturing,"Custodian, Seizure, Toe, Vehicle, Manufacturing, Food Service"
Architect suffered seizure to the toe while manufacturing with vehicle in food service.,Medium,Seizure due to Vehicle during Manufacturing,"Architect, Seizure, Toe, Vehicle, Manufacturing, Food Service"
Architect suffered seizure to the toe while supervision with vehicle in packaging.,Medium,Seizure due to Vehicle during Supervision,"Architect, Seizure, Toe, Vehicle, Supervision, Packaging"
Architect suffered seizure to the toe while sanitation with vehicle in legal services.,Medium,Seizure due to Vehicle during Sanitation,"Architect, Seizure, Toe, Vehicle, Sanitation, Legal Services"
Records clerk suffered seizure to the toe while therapy with other vehicle in construction.,Medium,Seizure due to Other Vehicle during Therapy,"Records Clerk, Seizure, Toe, Other Vehicle, Therapy, Construction"
Program coordinator suffered seizure to the toe while other food with machine in food service.,Medium,Seizure due to Machine during Other Food,"Program Coordinator, Seizure, Toe, Machine, Other Food, Food Service"
Molder suffered seizure to the toe while education with natural disaster in healthcare.,Medium,Seizure due to Natural Disaster during Education,"Molder, Seizure, Toe, Natural Disaster, Education, Healthcare"
Forklift operator suffered seizure to the toe while law enforcement with vehicle in wholesale.,Medium,Seizure due to Vehicle during Law Enforcement,"Forklift Operator, Seizure, Toe, Vehicle, Law Enforcement, Wholesale"
Molder suffered seizure to the toe while law enforcement with vehicle in wholesale.,Medium,Seizure due to Vehicle during Law Enforcement,"Molder, Seizure, Toe, Vehicle, Law Enforcement, Wholesale"
Machine operator suffered chemical burn to the multiple parts while clerical with forklift in food service.,Medium,Chemical Burn due to Forklift during Clerical,"Machine Operator, Chemical Burn, Multiple Parts, Forklift, Clerical, Food Service"
Machine operator suffered seizure to the toe while other office with machine in food service.,Medium,Seizure due to Machine during Other Office,"Machine Operator, Seizure, Toe, Machine, Other Office, Food Service"
Stock clerk suffered heart attack to the toe while other office with animal in retail.,High,Heart Attack due to Animal during Other Office,"Stock Clerk, Heart Attack, Toe, Animal, Other Office, Retail"
Paramedic suffered seizure to the toe while law enforcement with vehicle in miscellaneous.,Medium,Seizure due to Vehicle during Law Enforcement,"Paramedic, Seizure, Toe, Vehicle, Law Enforcement, Miscellaneous"
Gardener suffered stroke to the toe while education with other fatal in packaging.,High,Stroke due to Other Fatal during Education,"Gardener, Stroke, Toe, Other Fatal, Education, Packaging"
Manager suffered seizure to the toe while security with vehicle in other manufacturing.,Medium,Seizure due to Vehicle during Security,"Manager, Seizure, Toe, Vehicle, Security, Other Manufacturing"
Psychologist suffered seizure to the toe while receiving with vehicle in public administration.,Medium,Seizure due to Vehicle during Receiving,"Psychologist, Seizure, Toe, Vehicle, Receiving, Public Administration"
Manager suffered seizure to the toe while law enforcement with vehicle in packaging.,Medium,Seizure due to Vehicle during Law Enforcement,"Manager, Seizure, Toe, Vehicle, Law Enforcement, Packaging"
Manager suffered seizure to the toe while customer service with vehicle in public administration.,Medium,Seizure due to Vehicle during Customer Service,"Manager, Seizure, Toe, Vehicle, Customer Service, Public Administration"
Assembler suffered seizure to the toe while serving with vehicle in accommodation.,Medium,Seizure due to Vehicle during Serving,"Assembler, Seizure, Toe, Vehicle, Serving, Accommodation"
Forklift operator suffered seizure to the toe while customer service with vehicle in wholesale.,Medium,Seizure due to Vehicle during Customer Service,"Forklift Operator, Seizure, Toe, Vehicle, Customer Service, Wholesale"
Forklift operator suffered seizure to the toe while therapy with vehicle in wholesale.,Medium,Seizure due to Vehicle during Therapy,"Forklift Operator, Seizure, Toe, Vehicle, Therapy, Wholesale"
Forklift operator suffered seizure to the toe while surgery with vehicle in wholesale.,Medium,Seizure due to Vehicle during Surgery,"Forklift Operator, Seizure, Toe, Vehicle, Surgery, Wholesale"
Packager suffered seizure to the toe while therapy with machine in food service.,Medium,Seizure due to Machine during Therapy,"Packager, Seizure, Toe, Machine, Therapy, Food Service"
Forklift operator suffered seizure to the toe while other food with machine in wholesale.,Medium,Seizure due to Machine during Other Food,"Forklift Operator, Seizure, Toe, Machine, Other Food, Wholesale"
Stock clerk suffered seizure to the toe while law enforcement with vehicle in packaging.,Medium,Seizure due to Vehicle during Law Enforcement,"Stock Clerk, Seizure, Toe, Vehicle, Law Enforcement, Packaging"
Gardener suffered seizure to the toe while law enforcement with vehicle in packaging.,Medium,Seizure due to Vehicle during Law Enforcement,"Gardener, Seizure, Toe, Vehicle, Law Enforcement, Packaging"
Molder suffered seizure to the toe while nursing with vehicle in roofing.,Medium,Seizure due to Vehicle during Nursing,"Molder, Seizure, Toe, Vehicle, Nursing, Roofing"
Manager suffered seizure to the toe while nursing with vehicle in roofing.,Medium,Seizure due to Vehicle during Nursing,"Manager, Seizure, Toe, Vehicle, Nursing, Roofing"
File clerk suffered seizure to the toe while manufacturing with vehicle in manufacturing.,Medium,Seizure due to Vehicle during Manufacturing,"File Clerk, Seizure, Toe, Vehicle, Manufacturing"
Machine operator suffered seizure to the toe while other office with machine in food service.,Medium,Seizure due to Machine during Other Office,"Machine Operator, Seizure, Toe, Machine, Other Office, Food Service"
Packager suffered seizure to the toe while other cleaning with machine in food service.,Medium,Seizure due to Machine during Other Cleaning,"Packager, Seizure, Toe, Machine, Other Cleaning, Food Service"
Machine operator suffered seizure to the toe while therapy with machine in food service.,Medium,Seizure due to Machine during Therapy,"Machine Operator, Seizure, Toe, Machine, Therapy, Food Service"
Manager suffered seizure to the toe while plumbing with vehicle in finance.,Medium,Seizure due to Vehicle during Plumbing,"Manager, Seizure, Toe, Vehicle, Plumbing, Finance"
Landscaper suffered fatal injury to the toe while education with natural disaster in packaging.,High,Fatal Injury due to Natural Disaster during Education,"Landscaper, Fatal Injury, Toe, Natural Disaster, Education, Packaging"
Social worker suffered fatal injury to the toe while education with natural disaster in packaging.,High,Fatal Injury due to Natural Disaster during Education,"Social Worker, Fatal Injury, Toe, Natural Disaster, Education, Packaging"
Machine operator suffered seizure to the toe while clerical with machine in retail.,Medium,Seizure due to Machine during Clerical,"Machine Operator, Seizure, Toe, Machine, Clerical, Retail"
Machine operator suffered seizure to the toe while inspection with equipment in food service.,Medium,Seizure due to Equipment during Inspection,"Machine Operator, Seizure, Toe, Equipment, Inspection, Food Service"
Forklift operator suffered seizure to the toe while therapy with vehicle in wholesale.,Medium,Seizure due to Vehicle during Therapy,"Forklift Operator, Seizure, Toe, Vehicle, Therapy, Wholesale"
Manager suffered seizure to the toe while therapy with vehicle in roofing.,Medium,Seizure due to Vehicle during Therapy,"Manager, Seizure, Toe, Vehicle, Therapy, Roofing"
Stock clerk suffered concussion to the multiple parts while cleaning with gas in excavation.,Medium,Concussion due to Gas during Cleaning,"Stock Clerk, Concussion, Multiple Parts, Gas, Cleaning, Excavation"
Administrative assistant suffered concussion to the multiple parts while law enforcement with gas in education.,Medium,Concussion due to Gas during Law Enforcement,"Administrative Assistant, Concussion, Multiple Parts, Gas, Law Enforcement, Education"
Manager suffered concussion to the multiple parts while cleaning with gas in excavation.,Medium,Concussion due to Gas during Cleaning,"Manager, Concussion, Multiple Parts, Gas, Cleaning, Excavation"
Data entry clerk suffered concussion to the multiple parts while clerical with gas in excavation.,Medium,Concussion due to Gas during Clerical,"Data Entry Clerk, Concussion, Multiple Parts, Gas, Clerical, Excavation"
Landscaper suffered concussion to the multiple parts while plumbing with liquid in education.,Medium,Concussion due to Liquid during Plumbing,"Landscaper, Concussion, Multiple Parts, Liquid, Plumbing, Education"
Receiving clerk suffered seizure to the toe while law enforcement with vehicle in roofing.,Medium,Seizure due to Vehicle during Law Enforcement,"Receiving Clerk, Seizure, Toe, Vehicle, Law Enforcement, Roofing"
Data entry clerk suffered concussion to the multiple parts while other education with liquid in insurance.,Medium,Concussion due to Liquid during Other Education,"Data Entry Clerk, Concussion, Multiple Parts, Liquid, Other Education, Insurance"
Landscaper suffered bruise/contusion to the torso while cooking with elevator in insurance.,Low,Bruise/Contusion due to Elevator during Cooking,"Landscaper, Bruise/Contusion, Torso, Elevator, Cooking, Insurance"
Program coordinator suffered concussion to the multiple parts while cleaning with gas in education.,Medium,Concussion due to Gas during Cleaning,"Program Coordinator, Concussion, Multiple Parts, Gas, Cleaning, Education"
Stock clerk suffered seizure to the toe while therapy with vehicle in retail.,Medium,Seizure due to Vehicle during Therapy,"Stock Clerk, Seizure, Toe, Vehicle, Therapy, Retail"
Medical assistant suffered seizure to the toe while therapy with vehicle in retail.,Medium,Seizure due to Vehicle during Therapy,"Medical Assistant, Seizure, Toe, Vehicle, Therapy, Retail"
Manager suffered seizure to the toe while planning with machine in other services.,Medium,Seizure due to Machine during Planning,"Manager, Seizure, Toe, Machine, Planning, Other Services"
Production worker suffered concussion to the multiple parts while education with gas in roofing.,Medium,Concussion due to Gas during Education,"Production Worker, Concussion, Multiple Parts, Gas, Education, Roofing"
Manager suffered seizure to the toe while data entry with machine in miscellaneous.,Medium,Seizure due to Machine during Data Entry,"Manager, Seizure, Toe, Machine, Data Entry, Miscellaneous"
