Scenario,Risk_Level,Cause_of_Accident,Keywords
"At 1:15 p.m. on April 21, 2022, a Contractor was hired by a homeowner of a single-story residential property to perform renovations and build an addition to the existing structure. This involved miscellaneous demolition work and construction of foundations and footings, and framing. The employee and a coworker, his son, were assigned to demolish the existing fireplace and indoor BBQ wall and chimney between the kitchen and the living room. These structures consisted of bricks and cement masonry units structurally supported by a wall. The chimney went through the roof. The employee and coworker were demolishing the wall and chimney from the bottom up inside of the kitchen with a rotary hammer. The upper portion of the chimney fell through the composite shingle roof and landed on top of the employee crushing his torso. The chimney was too heavy to lift off of the employee and the homeowner called 911. The Fire Department responded and found the employee unresponsive. The Contractor was not licensed which meant that the homeowner became the employer. The collapse could have been prevented by demolishing the chimney from the top down and structurally supporting it by shoring, bracing, or other effective means. The employee was killed due to the blunt impact and crushing force on his chest, neck, and lower limbs.",High,Caught In Between,"back, blunt force, blunt force trauma, bracing, brick"
"At 11:20 a.m. on April 22, 2022, an employee had finished handling a load of steel being hoisted by a crane. The employee fell 30 feet from the 3rd floor of the building to the ground and was killed.",High,Struck By Object,"construction, crane load, fall, fall from elevation, fall protection"
"At 9:19 p.m. on April 26, 2022, an employee who worked as an Electrician was in the process of installing new electrical wiring connections from a ceiling grid to LED lighting in a suite within an office building. The employee was standing on a metal ladder while replacing the ceiling light fixtures when he contacted a live 277 volt wire that had not been deenergized. The employee was killed after being electrocuted and incurring blunt force trauma to his head from falling off the ladder.",High,Electrocution,"bladder, blunt force, blunt force trauma, ceiling, commercial building"
"At 11:00 a.m. on May 31, 2022, an employee was roofing on a residential building under construction when he fell through an unguarded opening in the roof. The employee fell approximately 25 feet and hit his head on the ground, causing his death.",High,Falls,"blunt force, blunt force trauma, fall, fall from elevation, head"
"At 12:30 p.m. on April 9, 2022, an employee dug a three-foot hole in the front of a house. The employee used a Bosch chipping hammer to dig under the house from the front to back in preparation for repairing the home's foundation. To improve visibility, the employee disconnected the hammer from the from an extension cord and plugged in a drop light. The drop light had multiple safety deficiencies that created an electrical hazard, such as a missing guard for the light bulb, cuts in the power cord, missing ground pin on the power cord, and a failed stress relief. The employee plugged the hammer into the electrical receptacle on the drop light and was electrocuted. The employee was transported to the hospital, where he later died.",High,Electrocution,"construction, electrical, electrocuted, hammer, temporary lighting"
"At 10:00 a.m. on June 3, 2022, an employee was caulking a windowsill while standing on a six-foot A frame ladder that was seven inches from an open fire pole hole. When the employee stepped down from the ladder, he stepped into the hole and fell 14 feet to a concrete surface below. The employee sustained unspecified head injuries and was admitted to the hospital, where he died two days later.",High,Falls,"construction, fall, fall from elevation, fire, floor hole"
"At 10:44 a.m. on December 23, 2020, Employee #1 was engaged in roofing work for a new four-story multifamily residential structure. Surface conditions on the roof were icy. According to a supervisor's subsequent statement, the employee, in order to move his work location, had disengaged his fall protection rope from one anchor point with the intent to tie off to another anchor. Before he could reattach his fall protection system, the employee slipped on the icy roof and fell, a fall height of approximately 44 feet. Employee #1 sustained blunt force traumatic injuries and was killed.",High,Falls,"anchor, blunt force trauma, fall, fall protection, icy"
"At 11:30 a.m. on December 30, 2020, Employee #1, employed by a construction company, was engaged in carpentry work at the site of a new three-story residence. He was standing at the unprotected leading edge of an elevated floor deck and holding an 8-foot by 4-foot plywood sheet when a wind gust caught the plywood. Employee #1 lost his footing and fell, a fall height of 20 feet. He struck his head on a concrete column lying on the ground and sustained blunt force traumatic injuries. Employee #1 was killed.",High,Falls,"blunt force trauma, carpenter, column, concrete slab, decking"
"On April 20, 2022, at 11:54 a.m. an employe was working as a Foreman for a company hired to install a solar energy system on the rooftop of a private residence. The employee was located on the roof while Coworker #1, a Solar Installer, was working on the ground level preparing solar panels for installation. Coworker #2, also a Solar Installer, was sitting on the peak of the roof taking a break. Coworker #3, another Solar Installer, was also sitting on the peak of the roof next to Coworker #2. The employee was measuring the solar panel installation rails near the edge of the roof when he fell 10 feet to the ground below. The employee incurred a serious head injury and was killed.",High,Falls,"blunt force, blunt force trauma, construction, fall, fall from elevation"
"At 4:00 p.m. on April 13, 2022, two employees were performing excavation work under a residential home in preparation for plumbing work. They were electrocuted and killed.",High,Electrocution,"electric shock, electrocuted, excavation, plumbing, residential construction"
"On December 29, 2020, Employee #1 and a coworker, employed by a construction contractor, were replacing old posts and fencing using a tractor and a power take off (PTO) post-hole digger. Employee #1's clothing became caught in the PTO shaft. Employee #1 was pulled into the rotating draft shaft and killed.",High,Electrocution,"caught in, construction, crushed, drive shaft, fence"
"At 1:00 p.m. on December 10, 2021, an employee had just returned from lunch break and began to operate a Skyjack Model SJ III - 3219 Aerial Scissor Lift installing electrical wires in a ceiling. The employee became caught between the guardrail of the scissor lift and the ceiling truss and was killed, most likely due to asphyxiation accompanied by multiple broken bones.",High,Electrocution,"abdomen, aerial lift, asphyxiated, asphyxiation, broken bone"
"At 2:30 p.m. on April 20, 2022, an employee was working with a crew of coworkers erecting interior walls within a building. The employee, a construction laborer, and three coworkers were framing, installing and bracing the walls of a residential building on the second level. The wall measured greater than 40 feet in length and about 8 feet in height and weighed an estimated 1,000 pounds to 2,000 pounds. The employer was using a crane with a tow strap sling attachment to assist the crew in lifting up the walls from a flat position to a vertical position. The sling had end loops attached to the wall with two 2 inch by 6 foot boards tacked with 3 inch framing nails. The boards were situated inside the end loops of the sling. While the wall was being stood upright by the the crew in order to be braced, a reported high gust of wind caused the wall tip over and strike the employee. The employee incurred severe blunt force trauma and was killed. The wall was partially braced and disconnected from the crane at the time it fell. The activities were taking place in high wind conditions and wind gusts of up to 40 miles per hour were reported. Weather and the high wind conditions were likely a factor to the event. The operation was not adjusted to address the effects of high winds.",High,Falls,"blunt force, blunt force trauma, bracing, building, building collapse"
"At 1:00 p.m. on January 1, 2021, Employee #1, employed by a cable construction company, was preparing to install a fiber optic cable line at a residential site. He came into contact with live/energized electrical power lines and sustained severe electric shock. Employee #1 was killed by electrocution.",High,Electrocution,"contact, electric current, electrical, electrocuted, energized"
"At 12:45 p.m. on January 1, 2020, Employee #1 and a coworker were working at the site of a commercial building demolition. Employee #1 was standing on a second-story cement work surface and using a two-gallon spray pump to spray water on the surface and clear the dust being created by his coworker, who was operating a masonry saw. A concrete slab measuring approximately 7 feet by 6 feet broke free underneath Employee #1's feet, causing him to fall and become trapped beneath the concrete at ground level. Employee #1 sustained crushing injuries and was killed.",High,Falls,"blunt force trauma, caught between, concrete slab, construction, crushed"
"At 8:00 a.m. on April 22, 2022, an employee, a roofer, was working on a commercial building roof. The employee tripped and fell 5 stories to the ground and broke his right femur fractured his skull. The employee died as a result of his injuries.",High,Falls,"commercial building, construction, fall, fall from elevation, fall protection"
"At 9:15 a.m. on January 4, 2021, Employee #1, employed by an electrical contractor, was working at a multiemployer construction project, a new two-story commercial building. An electric light in the building's courtyard was not working. As the employee was troubleshooting the problem, he came into contact with an energized 277-volt electric circuit. Employee #1 sustained a severe electric shock and was killed by electrocution.",High,Electrocution,"construction, electric current, electrical, electrical testing, electrical work"
"At 10:00 a.m. on April 21, 2022, an employee was working with coworkers engaged in housekeeping activities and concrete stucco work. The employee was accessing the second floor of the residence by climbing down a ladder when he fell approximately 12 feet to the concrete floor and was killed due to blunt force trauma.",High,Falls,"blunt force, blunt force trauma, concrete, concrete floor, concussion"
"At 11:30 a.m. on December 21, 2020, Employee #1 and a coworker, employed by a gutters company, were installing snow stops along the roof of a residence. Employee #1 was using a Warner 24-foot aluminum extension ladder that was extended to approximately 18 feet. As he maneuvered the ladder from one side of the roof to the other side, the ladder came into contact with low-hanging, energized power lines. Employee #1 was electrocuted. The coworker, while waiting for emergency services to arrive, attempted CPR. Emergency services transported Employee #1 to the hospital, where he was declared dead.",High,Electrocution,"contact, cpr, electrocuted, extension ladder, installing"
"At 5:00 p.m. on June 2, 2022, an employee was climbing onto a scaffold through a second story window in preparation to work on the scaffold when he fell from the scaffold to the ground. There was no railing or personal fall protection system in place on the scaffold. The employee suffered a crushed skull and spiral fracture in right leg and subsequently died from his injuries.",High,Falls,"blunt force, blunt force trauma, climbing, construction, fall"
"At 10:45 a.m. on April 18, 2022, an employee was digging a shallow trench, along the perimeter of a residential home's crawl space to install French drains. When the employee struck an underground electrical line, he was electrocuted and killed.",High,Electrocution,"electric cable, electrical, electrocuted, installing, residential construction"
"At 10:30 a.m. on June 4, 2022, an employee was removing structural supports from a garage. The building collapsed and fell on him. The employee broke his neck and was killed when the entire roof of the garage being demolished unexpectedly collapsed. A coworker was also injured. An engineering survey was not performed by a competent person prior to allowing garage demolition operations to begin. The walls and attic floor of the garage were not braced and the employee and coworkers were allowed inside the garage, after the wall sheathing, iron pipe supports and house connections had been removed or cut.",High,Falls,"building, building collapse, competent person, construction, crushed"
"At 9:00 a.m. on December 23, 2020, Employee #1 and a coworker, painters subcontracted by a construction remodeling company, were completing a four-day project to repaint the exterior of a residential structure. Employee #1 was stepping onto the extension ladder when he fell, a fall height of 8 to 9 feet, and struck his head on the concrete surface. Emergency services transported the employee to the hospital, where he was admitted for treatment of a fractured skull. Employee #1 died while hospitalized.",High,Falls,"blunt force trauma, brain, concrete, extension ladder, fall"
