Obs,TYPE,RECORDID,STATE,AGE,GENDER,RACE,FB,OCCUP,NOI,POB,SOI,EOE,ACTIVITY,LOCATION,INDUSTRY,ES,TEIB,SIZE,TotTime,NOWOIS,NOWIIE,OWNER,WSE,EWAOH,SI,WSP,PJT,AFS,Training,INJURY_DATE,INJURY_MONTH,INJURY_YEAR,Fall_Feet,PFAS_Rec,Region,fall,R11,R12,R13,R14,R15,R16,R19,R21,R22,R23,R24,R25,R29,R31,R32,R33,R34,R35,R39,R41,R42,R43,R44,R45,R46,R47,R48,R49,R51,R52,R59,R999,PPE,PFASR,Equipment,Organizational,Violations,Occupation_Mapped,Nature of Injury_Mapped,Part of Body_Mapped,Source of Injury_Mapped,Work Activity_Mapped,Industry Type_Mapped
1,I,1982-01,MA,59,1,7,3,558,60,10,3434,21,540,47,1629,1,.,.,.,.,0,6,3,3,3,3,3,3,1,18,5,1982,.,.,Northeast,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Landscaper,Amputation,Neck,Bucket,Pharmacy,Other Manufacturing
2,I,1982-02,WV,29,1,7,3,558,61,11,624,116,530,47,1541,1,12.00,.,.,4,0,6,2,3,3,3,3,3,1,16,8,1982,16,1,South,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Landscaper,Crushing,Shoulder,Liquid,Therapy,Excavation
3,I,1982-03,PA,.,1,7,3,804,93,5,4415,313,530,47,1542,1,35.00,85,1644.00,5,0,6,3,3,3,2,1,2,2,15,10,1982,.,.,Northeast,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Nurse,Seizure,Toe,Vehicle,Therapy,Roofing
4,I,1983-06,PA,.,1,7,3,579,80,8,624,116,632,71,9999,1,.,.,.,2,0,6,1,3,3,3,3,3,1,25,5,1983,70,1,Northeast,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,Forklift Operator,Concussion,Multiple Parts,Liquid,Serving,Unknown
5,I,1984-1301,AZ,.,1,7,3,869,959,5,941,3411,620,47,1623,1,.,.,.,.,38,6,2,3,2,3,3,3,1,8,3,1984,.,.,West,2,1,2,2,2,2,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,Manager,Fatal Injury,Toe,Building,Food Service,Packaging
6,I,1984-1302,AZ,.,1,7,3,35,959,5,941,3411,620,47,9621,1,.,.,.,.,38,2,2,3,2,3,3,3,1,8,3,1984,.,.,West,2,1,2,2,2,2,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,Electrician,Fatal Injury,Toe,Building,Food Service,Emergency
7,I,1985-04, ,.,1,7,3,555,93,5,4415,313,313,.,1623,1,.,.,.,.,0,6,2,1,3,1,3,3,1,28,11,1984,.,.,,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,Custodian,Seizure,Toe,Vehicle,Data Entry,Packaging
8,I,1985-0701,TN,.,1,7,3,597,93,5,4415,313,313,47,1791,1,.50,5,.,4,1,6,2,2,3,2,3,3,1,11,12,1984,.,.,South,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,Data Entry Clerk,Seizure,Toe,Vehicle,Data Entry,Insurance
9,I,1985-0702,TN,.,1,7,3,597,93,5,4415,313,313,47,1791,1,.50,5,.,4,1,6,2,2,3,2,3,3,1,11,12,1984,.,.,South,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,Data Entry Clerk,Seizure,Toe,Vehicle,Data Entry,Insurance
10,I,1985-08, ,.,1,7,3,869,93,5,4415,313,540,47,1761,1,.,.,.,.,0,6,2,1,3,3,3,3,1,3,1,1985,.,.,,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,Manager,Seizure,Toe,Vehicle,Pharmacy,Education
11,I,1985-10,GA,22,1,7,3,869,91,5,6271,41,592,10,1741,1,20.00,2,91.50,1,0,6,2,3,3,2,1,3,1,28,2,1985,.,.,South,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,2,1,1,2,Manager,Heart Attack,Toe,Radiation,Security,Accommodation
12,I,1985-12,MO,.,1,7,3,543,80,8,3463,119,312,.,1796,1,.,.,.,4,1,6,3,3,3,3,3,3,1,13,3,1985,60,0,Midwest,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Inspector,Concussion,Multiple Parts,Table,Clerical,Other Services
